heart_rate,body_temp,accelerometer_x,accelerometer_y,accelerometer_z,target
101,35.62893453427143,-4791.0600531205,-1056.5360404488183,14964.356829591645,0
142,37.690713164396286,-1395.2257384968325,-12167.574293438465,-8025.207284063194,1
64,33.611574100985834,-10932.50386326565,12864.866998127138,-12933.770979186396,0
121,29.65854393634233,18793.5238060872,577.655116635764,-6844.306963750443,1
110,31.68908677538342,5383.07842493317,14776.296038574816,-2085.595536000912,0
70,32.72006985318225,-3306.649126969176,15762.180039196337,3870.326511084597,0
132,36.39692413731082,-105.64690240007985,-6580.208085546968,7529.519918941995,1
136,35.420117960695855,1652.0889176692472,9007.3718759545,17871.20010250476,1
124,32.629257436672,7020.801667621607,2529.8631457043593,3844.8903342660196,1
124,40.824698234308734,4048.7799693774214,16805.485827251978,3544.6475619005287,1
137,35.875072651639535,18178.719062504606,-6449.076228824106,-12241.494656195626,1
149,31.08394829256793,3393.721901704059,9723.462010851548,-12778.095657032167,1
73,29.32317214406525,20725.53051881594,7271.324278845292,5290.5986670730235,1
52,29.987168809396316,15799.873521078352,-3664.4482849858523,1336.2514636920569,0
71,31.197450468998607,-6702.131997493247,-9218.968372208958,15371.313824310451,0
102,30.088857852374225,18570.83251253707,8807.391616704681,-8376.214535085419,1
51,30.425371312666975,-9927.176074008337,11850.911034631576,-13125.991825903264,0
137,31.706237193020012,14610.739797191705,-2953.0429682827507,1716.3568775544063,1
79,30.253856738831814,-678.1847283196967,8569.141140780983,-5688.250513670988,0
87,39.65795052014353,16729.101215577433,-170.41823359738555,-12263.49693314069,1
51,29.04303869360135,16381.98415376076,10962.24091489162,11360.940039667013,0
113,34.81864806441331,14207.38900411674,-7027.4653787081415,-10094.245001496338,0
109,33.3351587508656,13651.065270747149,17157.525092266103,7291.182500272011,0
70,40.770922019811884,-3336.2301315685727,-3940.6641237047097,-4163.25874415888,1
82,29.45650572818468,-11167.825093206175,-1127.4904285346493,-7927.638237574229,0
125,33.17212278759464,104.30625678065007,-11966.781677187757,-708.6966978238888,1
